time,temperature
2014-01-31,-7.6
2014-02-28,-1.6821428571428572
2014-03-31,0.8161290322580645
2014-04-30,5.13
2014-05-31,12.116129032258064
2014-06-30,14.116666666666667
2014-07-31,20.187096774193545
2014-08-31,17.9741935483871
2014-09-30,12.613333333333333
2014-10-31,4.593548387096774
2014-11-30,0.22666666666666663
2014-12-31,-1.896774193548387
2015-01-31,-4.129032258064516
2015-02-28,-2.0607142857142855
2015-03-31,1.3064516129032258
2015-04-30,4.47
2015-05-31,10.674193548387096
2015-06-30,15.173333333333334
2015-07-31,16.306451612903224
2015-08-31,16.996774193548386
2015-09-30,13.116666666666667
2015-10-31,4.583870967741936
2015-11-30,2.27
2015-12-31,1.4
2016-01-31,-11.19032258064516
2016-02-29,-0.8999999999999999
2016-03-31,-0.19354838709677416
2016-04-30,5.319999999999999
2016-05-31,13.293548387096775
2016-06-30,16.006666666666668
2016-07-31,18.596774193548388
2016-08-31,16.387096774193548
2016-09-30,12.243333333333334
2016-10-31,4.32258064516129
2016-11-30,-2.4166666666666665
2016-12-31,-1.8225806451612903
2017-01-31,-4.696774193548387
2017-02-28,-4.910714285714286
2017-03-31,0.4516129032258065
2017-04-30,1.7166666666666666
2017-05-31,8.26774193548387
2017-06-30,12.956666666666667
2017-07-31,15.80967741935484
2017-08-31,16.506451612903227
2017-09-30,11.746666666666666
2017-10-31,4.874193548387097
2017-11-30,1.2766666666666666
2017-12-31,-0.8290322580645161
2018-01-31,-3.787096774193548
2018-02-28,-9.325000000000001
2018-03-31,-6.441935483870967
2018-04-30,4.946666666666667
2018-05-31,13.69032258064516
2018-06-30,15.479999999999999
2018-07-31,19.887096774193548
2018-08-31,18.299999999999997
2018-09-30,13.616666666666667
2018-10-31,6.651612903225806
2018-11-30,2.0933333333333333
2018-12-31,-3.603225806451613
2019-01-31,-6.887096774193548
2019-02-28,-1.525
2019-03-31,-1.0032258064516129
2019-04-30,5.37
2019-05-31,11.370967741935484
2019-06-30,17.88
2019-07-31,15.938709677419356
2019-08-31,15.896774193548387
2019-09-30,11.26
2019-10-31,5.351612903225806
2019-11-30,1.1233333333333335
2019-12-31,1.0032258064516129
2020-01-31,0.9290322580645162
2020-02-29,-0.15517241379310345
2020-03-31,1.270967741935484
2020-04-30,3.3266666666666667
2020-05-31,8.816129032258065
2020-06-30,18.526666666666664
2020-07-31,17.04516129032258
2020-08-31,16.20967741935484
2020-09-30,13.376666666666667
2020-10-31,8.30967741935484
2020-11-30,3.1566666666666667
2020-12-31,-1.5129032258064516
2021-01-31,-6.180645161290323
2021-02-28,-10.282142857142857
2021-03-31,-2.0
2021-04-30,4.16
2021-05-31,11.0
2021-06-30,20.34333333333333
2021-07-31,22.1
2021-08-31,16.032258064516128
2021-09-30,9.566666666666666
2021-10-31,7.02258064516129
2021-11-30,1.5366666666666666
2021-12-31,-7.925806451612903
2022-01-31,-4.864516129032259
2022-02-28,-2.257142857142857
2022-03-31,-2.696774193548387
2022-04-30,2.746666666666667
2022-05-31,8.912903225806453
2022-06-30,16.87666666666667
2022-07-31,19.038709677419355
2022-08-31,19.438709677419357
2022-09-30,9.406666666666666
2022-10-31,7.209677419354839
2022-11-30,0.10333333333333329
2022-12-31,-4.390322580645161
2023-01-31,-3.296774193548387
2023-02-28,-4.192857142857143
2023-03-31,-1.7000000000000002
2023-04-30,5.086666666666667
2023-05-31,11.319354838709678
2023-06-30,16.733333333333334
2023-07-31,17.403225806451612
2023-08-31,18.925806451612903
2023-09-30,15.376666666666667
2023-10-31,4.348387096774194
2023-11-30,-0.6699999999999999
2023-12-31,-5.464516129032258
